date,arena,age_group,home,away,parallel_slot
2026-09-13,Baerum ishall,U10,Jutul Rød,Frisk Asker 2,0
2026-09-13,Baerum ishall,U10,Ringerike 4,Frisk Asker 1,1
2026-09-13,Baerum ishall,U10,Jar Grønn,Kongsberg,2
2026-09-13,Baerum ishall,U10,Jutul Rød,Frisk Asker 1,0
2026-09-13,Baerum ishall,U10,Kongsberg,Frisk Asker 2,1
2026-09-13,Baerum ishall,U10,Jar Grønn,Ringerike 4,2
2026-09-13,Baerum ishall,U10,Jutul Rød,Kongsberg,0
2026-09-13,Baerum ishall,U10,Frisk Asker 1,Jar Grønn,1
2026-09-13,Baerum ishall,U10,Frisk Asker 2,Ringerike 4,2
2026-09-13,Baerum ishall,U11,Jutul Grønn,Sandefjord,0
2026-09-13,Baerum ishall,U11,Frisk Asker 2,Jar Oransje,1
2026-09-13,Baerum ishall,U11,Tønsberg Hvit,Jar Lilla,2
2026-09-13,Baerum ishall,U11,Jutul Grønn,Jar Oransje,0
2026-09-13,Baerum ishall,U11,Jar Lilla,Sandefjord,1
2026-09-13,Baerum ishall,U11,Tønsberg Hvit,Frisk Asker 2,2
2026-09-13,Baerum ishall,U11,Jutul Grønn,Jar Lilla,0
2026-09-13,Baerum ishall,U11,Jar Oransje,Tønsberg Hvit,1
2026-09-13,Baerum ishall,U11,Sandefjord,Frisk Asker 2,2
2026-09-13,Baerum ishall,U11,Jutul Grønn,Tønsberg Hvit,0
2026-09-13,Baerum ishall,U11,Frisk Asker 2,Jar Lilla,1
2026-09-13,Baerum ishall,U11,Sandefjord,Jar Oransje,2
2026-09-13,Baerum ishall,U11,Jutul Grønn,Frisk Asker 2,0
2026-09-13,Baerum ishall,U11,Tønsberg Hvit,Sandefjord,1
2026-09-13,Baerum ishall,U11,Jar Lilla,Jar Oransje,2
2026-10-25,Skien ishall,JU8,Jutul Grønn,Jar Rød,0
2026-10-25,Skien ishall,JU8,Jutul Kittens,Ringerike 1,1
2026-10-25,Skien ishall,JU8,Jar,Frisk Asker,2
2026-10-25,Skien ishall,JU8,Skien,Jar Rød,0
2026-10-25,Skien ishall,JU8,Frisk Asker,Jutul Grønn,1
2026-10-25,Skien ishall,JU8,Jar,Jutul Kittens,2
2026-10-25,Skien ishall,JU8,Skien,Ringerike 1,0
2026-10-25,Skien ishall,JU8,Jar Rød,Frisk Asker,1
2026-10-25,Skien ishall,JU8,Jutul Grønn,Jutul Kittens,2
2026-10-25,Skien ishall,JU8,Skien,Frisk Asker,0
2026-10-25,Skien ishall,JU8,Jar,Ringerike 1,1
2026-10-25,Skien ishall,JU8,Jutul Kittens,Jar Rød,2
2026-10-25,Skien ishall,JU8,Skien,Jar,0
2026-10-25,Skien ishall,JU8,Frisk Asker,Jutul Kittens,1
2026-10-25,Skien ishall,JU8,Ringerike 1,Jutul Grønn,2
2026-10-25,Skien ishall,JU8,Skien,Jutul Kittens,0
2026-10-25,Skien ishall,JU8,Jutul Grønn,Jar,1
2026-10-25,Skien ishall,JU8,Jar Rød,Ringerike 1,2
2026-10-25,Skien ishall,JU8,Skien,Jutul Grønn,0
2026-10-25,Skien ishall,JU8,Jar,Jar Rød,1
2026-10-25,Skien ishall,JU8,Frisk Asker,Ringerike 1,2
2026-10-25,Skien ishall,JU8,(Pause),Skien,
2026-10-25,Skien ishall,JU8,(Pause),Ringerike 1,
2026-10-25,Skien ishall,JU8,(Pause),Jar,
2026-10-25,Skien ishall,JU8,(Pause),Jutul Grønn,
2026-10-25,Skien ishall,JU8,(Pause),Jar Rød,
2026-10-25,Skien ishall,JU8,(Pause),Frisk Asker,
2026-10-25,Skien ishall,JU8,(Pause),Jutul Kittens,
2026-11-14,Jarhallen,U11,Jar Oransje,Skien,0
2026-11-14,Jarhallen,U11,Jar Rød,Ringerike 2,1
2026-11-14,Jarhallen,U11,Sandefjord,Frisk Asker 1,2
2026-11-14,Jarhallen,U11,Jar Oransje,Ringerike 2,0
2026-11-14,Jarhallen,U11,Frisk Asker 1,Skien,1
2026-11-14,Jarhallen,U11,Sandefjord,Jar Rød,2
2026-11-14,Jarhallen,U11,Jar Oransje,Frisk Asker 1,0
2026-11-14,Jarhallen,U11,Ringerike 2,Sandefjord,1
2026-11-14,Jarhallen,U11,Skien,Jar Rød,2
2026-11-14,Jarhallen,U11,Jar Oransje,Sandefjord,0
2026-11-14,Jarhallen,U11,Jar Rød,Frisk Asker 1,1
2026-11-14,Jarhallen,U11,Skien,Ringerike 2,2
2026-11-14,Jarhallen,U11,Jar Oransje,Jar Rød,0
2026-11-14,Jarhallen,U11,Sandefjord,Skien,1
2026-11-14,Jarhallen,U11,Frisk Asker 1,Ringerike 2,2
2026-09-19,Holmenkollen ishall,U12,Jar Svart,Ringerike 1,0
2026-09-19,Holmenkollen ishall,U12,Jar Rød,Jutul Grønn,1
2026-09-19,Holmenkollen ishall,U12,Jar Svart,Jutul Grønn,0
2026-09-19,Holmenkollen ishall,U12,Jar Rød,Ringerike 1,1
2026-09-19,Holmenkollen ishall,U12,Jar Svart,Jar Rød,0
2026-09-19,Holmenkollen ishall,U12,Jutul Grønn,Ringerike 1,1
2026-09-19,Sandefjord ishall,U8,Jar Blå,Ringerike 2,0
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Hvit,Frisk Asker 3,1
2026-09-19,Sandefjord ishall,U8,Jutul Rød,Holmen Hockey Rød,2
2026-09-19,Sandefjord ishall,U8,Frisk Asker 2,Jutul Grønn,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Frisk Asker 3,0
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Rød,Ringerike 2,1
2026-09-19,Sandefjord ishall,U8,Jutul Grønn,Holmen Hockey Hvit,2
2026-09-19,Sandefjord ishall,U8,Frisk Asker 2,Jutul Rød,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Holmen Hockey Rød,0
2026-09-19,Sandefjord ishall,U8,Frisk Asker 3,Jutul Grønn,1
2026-09-19,Sandefjord ishall,U8,Ringerike 2,Frisk Asker 2,2
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Hvit,Jutul Rød,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Jutul Grønn,0
